,,Income,,,,,,,,Upfront Investment,,,,,Loan Details,,,,,,,,,,,Holdings,,,,,,Investors Metrics,,,,,,,,,,,,,,Payout - Partnership Model,,,,,,,Payout - Debt Model,,,,,,,,,,Investors Exit ,,,
Property Location (w/ Link),Listing Price,Purchase Price,Bedrooms Post Renovations,Avg. Rent Per Bedroom per Month,Margin of Safety,Property Management Fee,Gross Rent (80%),Security Deposit Held,Gross Annual Rental Income,Closing Costs ,First Month Dues,Escrow Amount,Improvement Costs,Total Upfront Investment,Loan Provider ,Loan Amount,Interest Rate,Ideal Refinance Rate,Loan Origin Year,Loan Term,Monthly Mortgage Payments (Principal + Interests),Home Insurance,Mortgage Insurance,Property Taxes Monthly,Total Monthly Mortgage+ Amount ,Short Term Costs (OpEx = 1% of Revenue),Long Term Costs (CapEx = 1% of Property Value),Miscellaneous Funds - 2% of prop value,Business Costs (compliance),Total Property Holding Costs Monthly,Security Deposit Held,Depreciation and Deductions,Adj Net Operating Income,Raw Net Operating Income,Adj Net Revenue per month,Break Even Occupancy (BEO) %,Adj CoC % ,Adj Repayment Period,Raw Net Revenue per month ,Raw CoC % ,Raw Repayment Period,Adj Cap Rate,Raw Cap Rate,Adj DSCR ,Raw DSCR,Investor Amount,Investor Share: Total Upfront Cost / (Total Loan Amount + Total Improvement Cost) ,Investor Payout Monthly,Investor Return%,BIG % ,BIG Payout,Sanity Check,Investor Amount,Investor Interest Rate (annual),Term (years),r - Monthly rate,n - Number of Terms,Investor Monthly Payment,Remaining Funds,BIG Partner%,BIG Partner Payout,Sanity Check,g - rental growth rate,r - hurdle rate (CAPM),Friction Costs, Exit Offer Gordon 
97 Throop Avenue,"$370,000.00","$365,000.00",7,1000,20%,0%,"$5,600.00","$1,500.00","$67,200.00","$37,000.00","$2,745.43","$15,000.00","$50,000.00","$89,745.43",State Farm,"$333,000.00",6.13%,,2026,30.00,"$2,023.10",$140.83,$191.50,$390.00,"$2,745.43",$56.00,$304.17,,250,$610.17,"$1,500.00",,"$4,267.50","$6,027.67","$2,244.40",59.92%,30.01%,3.33,"$4,004.57",53.55%,1.87,14.03%,19.82%,1.55,2.20,"$89,745.43",21%,$482.17,6%,26%,$587.41,#REF!,"$89,745.43",7.50%,5.00,0.63%,60.00,"$1,798.31",$446.09,33.30%,$148.55,#REF!,5%,10%,7.00%," $ 1,156,355.74 "
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,
,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,,,,,,,,,,$0.00,30.00%,$0.00,#REF!,5%,,,